17, 63, 3, 191, 191, 191
36, 63, 3, 191, 191, 191
17, 61, 4, 191, 191, 191
18, 61, 4, 191, 191, 191
35, 61, 4, 191, 191, 191
36, 61, 4, 191, 191, 191
15, 62, 4, 191, 191, 191
16, 62, 4, 191, 191, 191
17, 62, 4, 191, 191, 191
18, 62, 4, 191, 191, 191
35, 62, 4, 191, 191, 191
36, 62, 4, 191, 191, 191
37, 62, 4, 191, 191, 191
38, 62, 4, 191, 191, 191
14, 63, 4, 191, 191, 191
15, 63, 4, 191, 191, 191
16, 63, 4, 191, 191, 191
28, 110, 53, 191, 191, 191
18, 63, 4, 191, 191, 191
35, 63, 4, 191, 191, 191
27, 110, 53, 191, 191, 191
37, 63, 4, 191, 191, 191
38, 63, 4, 191, 191, 191
39, 63, 4, 191, 191, 191
17, 60, 5, 191, 191, 191
18, 60, 5, 191, 191, 191
35, 60, 5, 191, 191, 191
36, 60, 5, 191, 191, 191
15, 61, 5, 191, 191, 191
16, 61, 5, 191, 191, 191
26, 110, 53, 191, 191, 191
18, 61, 5, 191, 191, 191
35, 61, 5, 191, 191, 191
25, 110, 53, 191, 191, 191
37, 61, 5, 191, 191, 191
38, 61, 5, 191, 191, 191
39, 61, 5, 191, 191, 191
12, 62, 5, 191, 191, 191
13, 62, 5, 191, 191, 191
14, 62, 5, 191, 191, 191
28, 109, 53, 191, 191, 191
27, 109, 53, 191, 191, 191
18, 62, 5, 191, 191, 191
35, 62, 5, 191, 191, 191
26, 109, 53, 191, 191, 191
25, 109, 53, 191, 191, 191
39, 62, 5, 191, 191, 191
40, 62, 5, 191, 191, 191
41, 62, 5, 191, 191, 191
11, 63, 5, 191, 191, 191
12, 63, 5, 191, 191, 191
13, 63, 5, 191, 191, 191
28, 108, 53, 191, 191, 191
18, 63, 5, 191, 191, 191
35, 63, 5, 191, 191, 191
27, 108, 53, 191, 191, 191
40, 63, 5, 191, 191, 191
41, 63, 5, 191, 191, 191
42, 63, 5, 191, 191, 191
18, 58, 6, 191, 191, 191
19, 58, 6, 191, 191, 191
34, 58, 6, 191, 191, 191
35, 58, 6, 191, 191, 191
15, 59, 6, 191, 191, 191
16, 59, 6, 191, 191, 191
17, 59, 6, 191, 191, 191
18, 59, 6, 191, 191, 191
19, 59, 6, 191, 191, 191
34, 59, 6, 191, 191, 191
35, 59, 6, 191, 191, 191
36, 59, 6, 191, 191, 191
37, 59, 6, 191, 191, 191
38, 59, 6, 191, 191, 191
14, 60, 6, 191, 191, 191
